Column1;Season;Episode;Sentence;Name;N_serie;N_Season;Emision Date
173;Season 1;winter is coming;It’s done, Your Grace The Targaryens are gone;ned;1;1;17/04/2011
174;Season 1;winter is coming;Not all of them;robert;1;1;17/04/2011
175;Season 1;winter is coming;Daenerys;viserys;1;1;17/04/2011
176;Season 1;winter is coming;Daenerys! There’s our bride to be! Look – a gift from Illyrio Touch it Come on Feel the fabric Mmmm Isn’t he a gracious host?;viserys;1;1;17/04/2011
177;Season 1;winter is coming;We’ve been his guests for over a year and he’s never asked us for anything;daenerys;1;1;17/04/2011
178;Season 1;winter is coming;Illyrio is no fool He knows I won’t forget my friends when I come into my throne You still slouch Let me see You have a woman’s body now I need you to be perfect today Can you do that for me? You don’t want to wake the dragon, do you?;viserys;1;1;17/04/2011
179;Season 1;winter is coming;No;daenerys;1;1;17/04/2011
180;Season 1;winter is coming;When they write the history of my reign, sweet sister, they will say it began today;viserys;1;1;17/04/2011
181;Season 1;winter is coming;It’s too hot, my lady;maid;1;1;17/04/2011
182;Season 1;winter is coming;Where is he?;viserys;1;1;17/04/2011
183;Season 1;winter is coming;The Dothraki are not known for their punctuality;illyrio;1;1;17/04/2011
184;Season 1;winter is coming;May I present my honored guests? Viserys of House Targaryen, the third of his name The rightful King of the Andals and the First Men And his sister, Daenerys, of the House Targaryen;illyrio;1;1;17/04/2011
185;Season 1;winter is coming;Do you see how long his hair is? When Dothraki are defeated in combat, they cut off their braid so the whole world can see their shame Khal Drogo has never been defeated He’s a savage, of course, but he’s one of the finest killers alive And you will be his queen;viserys;1;1;17/04/2011
186;Season 1;winter is coming;Come forward, my dear;illyrio;1;1;17/04/2011
187;Season 1;winter is coming;Where’s he going?;viserys;1;1;17/04/2011
188;Season 1;winter is coming;The ceremony is over;illyrio;1;1;17/04/2011
189;Season 1;winter is coming;But he didn’t say anything Did he like her?;viserys;1;1;17/04/2011
190;Season 1;winter is coming;Trust me, Your Grace If he didn’t like her, we’d know;illyrio;1;1;17/04/2011
191;Season 1;winter is coming;It won’t be long now Soon you will cross the Narrow Sea and take back your father’s throne The people drink secret toasts to your health They cry out for their true king;illyrio;1;1;17/04/2011
192;Season 1;winter is coming;When will they be married?;viserys;1;1;17/04/2011
193;Season 1;winter is coming;Soon The Dothraki never stay still for long;illyrio;1;1;17/04/2011
194;Season 1;winter is coming;Is it true they lie with their horses?;viserys;1;1;17/04/2011
195;Season 1;winter is coming;I wouldn’t ask Khal Drogo;illyrio;1;1;17/04/2011
196;Season 1;winter is coming;Do you take me for a fool?;viserys;1;1;17/04/2011
197;Season 1;winter is coming;I take you for a king Kings lack the caution of common men My apologies if I’ve given offense;illyrio;1;1;17/04/2011
198;Season 1;winter is coming;I know how to play a man like Drogo I give him a queen and he gives me an army DAENERYS I don’t want to be his queen I want to go home;viserys;1;1;17/04/2011
199;Season 1;winter is coming;So do I I want us both to go home But they took it from us So tell me, sweet sister, how do we go home?;viserys;1;1;17/04/2011
200;Season 1;winter is coming;I don’t know;daenerys;1;1;17/04/2011
201;Season 1;winter is coming;We go home with an army With Khal Drogo’s army I would let his whole tribe fuck you, all 40,000 men and their horses too, if that’s what it took;viserys;1;1;17/04/2011
202;Season 1;winter is coming;Do you think Joffrey will like me? What if he thinks I’m ugly?;sansa;1;1;17/04/2011
203;Season 1;winter is coming;Then he is the stupidest prince that ever lived;catelyn;1;1;17/04/2011
204;Season 1;winter is coming;He’s so handsome;sansa;1;1;17/04/2011
205;Season 1;winter is coming;When would we be married? Soon or do we have to wait?;sansa;1;1;17/04/2011
206;Season 1;winter is coming;Hush now Your father hasn’t even said yes;catelyn;1;1;17/04/2011
207;Season 1;winter is coming;Why would he say no? He’d be the second most powerful man in the kingdoms;sansa;1;1;17/04/2011
208;Season 1;winter is coming;He’d have to leave home He’d have to leave me And so would you;catelyn;1;1;17/04/2011
209;Season 1;winter is coming;You left your home to come here And I’d be queen someday Please make father say yes;sansa;1;1;17/04/2011
210;Season 1;winter is coming;Sansa;catelyn;1;1;17/04/2011
211;Season 1;winter is coming;Please, please It’s the only thing I ever wanted;sansa;1;1;17/04/2011
